"Dec 23, 2020";"4.72330";"5.15990";"5.15990";"4.72330";"391.90K";"-8.46%"
"Dec 24, 2020";"5.13460";"4.72330";"5.13610";"4.72330";"473.90K";"8.71%"
"Dec 25, 2020";"5.21650";"5.11110";"5.21650";"5.10060";"516.56K";"1.60%"
"Dec 26, 2020";"5.18790";"5.21650";"5.21650";"5.15840";"335.63K";"-0.55%"
"Dec 27, 2020";"5.14350";"5.18790";"5.32410";"5.11050";"1.07M";"-0.86%"
"Dec 28, 2020";"6.58080";"5.14350";"6.58080";"5.14350";"2.23M";"27.94%"
"Dec 29, 2020";"7.51880";"6.58080";"7.51880";"6.33580";"2.41M";"14.25%"
"Dec 30, 2020";"7.23200";"7.54940";"7.54940";"7.15080";"1.62M";"-3.81%"
"Dec 31, 2020";"9.26490";"7.23200";"9.26490";"7.23200";"3.18M";"28.11%"
"Jan 01, 2021";"8.30070";"9.27270";"9.27270";"8.24690";"2.06M";"-10.41%"
"Jan 02, 2021";"9.21980";"8.30000";"9.67340";"8.30000";"3.19M";"11.07%"
"Jan 03, 2021";"10.15870";"9.21980";"10.15870";"8.99970";"2.86M";"10.18%"
"Jan 04, 2021";"9.51720";"10.15870";"10.15870";"9.51720";"2.55M";"-6.31%"
"Jan 05, 2021";"9.74950";"9.51730";"9.93640";"9.21990";"1.70M";"2.44%"
"Jan 06, 2021";"10.10270";"9.74950";"10.10270";"9.74950";"1.66M";"3.62%"
"Jan 07, 2021";"9.65160";"10.10270";"10.27650";"9.60240";"3.34M";"-4.47%"
"Jan 08, 2021";"9.31580";"9.60240";"9.69410";"9.31580";"2.10M";"-3.48%"
"Jan 09, 2021";"9.77500";"9.31580";"9.77500";"9.31580";"1.15M";"4.93%"
"Jan 10, 2021";"9.30890";"9.78270";"9.94710";"9.30890";"1.37M";"-4.77%"
"Jan 11, 2021";"8.29690";"9.30890";"9.30890";"7.62140";"3.12M";"-10.87%"
"Jan 12, 2021";"8.29970";"8.29690";"8.57190";"8.19040";"893.11K";"0.03%"
"Jan 13, 2021";"10.93940";"8.29970";"10.93940";"8.29970";"3.71M";"31.80%"
"Jan 14, 2021";"14.47240";"10.93940";"14.47240";"10.93940";"3.87M";"32.30%"
"Jan 15, 2021";"13.19360";"14.50300";"14.50300";"13.19360";"3.69M";"-8.84%"
"Jan 16, 2021";"17.95350";"13.17330";"17.95350";"13.17330";"5.10M";"36.08%"
"Jan 17, 2021";"17.09780";"17.99150";"17.99150";"16.90970";"2.93M";"-4.77%"
"Jan 18, 2021";"16.58270";"17.09780";"17.28800";"16.05350";"2.20M";"-3.01%"
"Jan 19, 2021";"16.41000";"16.58270";"17.14900";"16.41000";"1.76M";"-1.04%"
"Jan 20, 2021";"17.99530";"16.41000";"17.99530";"15.02770";"2.83M";"9.66%"
"Jan 21, 2021";"15.93410";"17.99530";"17.99530";"15.93410";"2.53M";"-11.45%"
"Jan 22, 2021";"17.22030";"15.93800";"17.22030";"15.93800";"2.35M";"8.07%"
"Jan 23, 2021";"18.73530";"17.15400";"18.73530";"17.15400";"1.70M";"8.80%"
"Jan 24, 2021";"17.99000";"18.75000";"18.75000";"17.47750";"1.16M";"-3.98%"
"Jan 25, 2021";"17.22560";"17.99000";"18.16760";"17.22560";"1.51M";"-4.25%"
"Jan 26, 2021";"17.13050";"17.22560";"17.42230";"16.38190";"1.25M";"-0.55%"
"Jan 27, 2021";"15.51740";"17.13050";"17.13050";"15.51740";"1.75M";"-9.42%"
"Jan 28, 2021";"16.90860";"15.51740";"16.96900";"15.51740";"1.37M";"8.97%"
"Jan 29, 2021";"16.81370";"16.90860";"17.35720";"16.62400";"1.26M";"-0.56%"
"Jan 30, 2021";"16.55710";"16.81370";"16.81370";"16.36850";"778.97K";"-1.53%"
"Jan 31, 2021";"16.12400";"16.55310";"16.70000";"16.12400";"933.56K";"-2.62%"
"Feb 01, 2021";"16.44530";"16.12400";"16.44530";"15.85180";"768.48K";"1.99%"
"Feb 02, 2021";"17.19790";"16.44530";"17.19790";"16.29130";"1.42M";"4.58%"
"Feb 03, 2021";"20.89610";"17.16120";"20.89610";"17.16120";"2.45M";"21.50%"
"Feb 04, 2021";"19.71930";"20.89610";"21.07360";"19.12260";"1.97M";"-5.63%"
"Feb 05, 2021";"20.87010";"19.71930";"20.91400";"19.71930";"1.87M";"5.84%"
"Feb 06, 2021";"20.39820";"20.86340";"20.86340";"20.21560";"1.14M";"-2.26%"
"Feb 07, 2021";"19.80000";"20.39820";"20.39820";"19.80000";"1.52M";"-2.93%"
"Feb 08, 2021";"23.00140";"19.80000";"23.00140";"19.41150";"2.12M";"16.17%"
"Feb 09, 2021";"23.12030";"23.00140";"23.12030";"22.98450";"1.43M";"0.52%"
"Feb 10, 2021";"23.60740";"23.10930";"23.60740";"22.97430";"1.62M";"2.11%"
"Feb 11, 2021";"25.03080";"23.60740";"25.03080";"23.60740";"1.58M";"6.03%"
"Feb 12, 2021";"28.70120";"25.01160";"28.70120";"25.01160";"1.69M";"14.66%"
"Feb 13, 2021";"27.97950";"28.70120";"28.89310";"27.97950";"1.71M";"-2.51%"
"Feb 14, 2021";"26.95000";"27.97950";"28.36820";"26.95000";"1.01M";"-3.68%"
"Feb 15, 2021";"27.78200";"26.95150";"29.31790";"26.95150";"1.64M";"3.09%"
"Feb 16, 2021";"30.03500";"27.78200";"30.35490";"27.78200";"1.94M";"8.11%"
"Feb 17, 2021";"32.02100";"30.03500";"32.02100";"30.03500";"1.49M";"6.61%"
"Feb 18, 2021";"31.05340";"32.02100";"32.27460";"31.05340";"916.30K";"-3.02%"
"Feb 19, 2021";"34.81990";"31.05340";"34.81990";"31.05340";"1.52M";"12.13%"
"Feb 20, 2021";"39.01680";"34.81990";"39.01680";"34.81990";"2.58M";"12.05%"
"Feb 21, 2021";"39.56530";"39.00000";"40.28200";"39.00000";"788.05K";"1.41%"
"Feb 22, 2021";"37.66910";"39.56530";"39.56530";"36.98580";"2.65M";"-4.79%"
"Feb 23, 2021";"34.60540";"37.66910";"37.66910";"31.20400";"3.50M";"-8.13%"
"Feb 24, 2021";"33.69930";"34.57360";"36.72610";"33.10030";"1.76M";"-2.62%"
"Feb 25, 2021";"31.20090";"33.69930";"33.69930";"31.20090";"1.50M";"-7.41%"
"Feb 26, 2021";"31.45140";"31.17570";"32.44050";"30.16820";"2.19M";"0.80%"
"Feb 27, 2021";"33.48970";"31.45140";"34.76240";"31.45140";"1.54M";"6.48%"
"Feb 28, 2021";"33.84210";"33.48970";"34.61370";"31.41690";"1.39M";"1.05%"
"Mar 01, 2021";"35.69500";"33.84210";"35.69500";"33.84210";"995.97K";"5.48%"
"Mar 02, 2021";"36.21410";"35.69620";"36.21410";"35.48380";"1.38M";"1.45%"
"Mar 03, 2021";"37.05440";"36.21410";"38.35650";"36.21410";"995.73K";"2.32%"
"Mar 04, 2021";"35.26090";"37.04470";"37.11170";"35.26090";"860.91K";"-4.84%"
"Mar 05, 2021";"33.62030";"35.22360";"35.22360";"33.13420";"1.19M";"-4.65%"
"Mar 06, 2021";"33.37190";"33.63550";"33.63550";"32.68410";"579.03K";"-0.74%"
"Mar 07, 2021";"35.10740";"33.37190";"35.10740";"33.37190";"530.89K";"5.20%"
"Mar 08, 2021";"34.99630";"35.10370";"35.10370";"34.30000";"718.97K";"-0.32%"
"Mar 09, 2021";"38.22230";"34.98610";"38.22230";"34.98610";"1.08M";"9.22%"
"Mar 10, 2021";"37.58150";"38.22040";"39.24530";"37.58150";"1.00M";"-1.68%"
"Mar 11, 2021";"36.90360";"37.55810";"37.97270";"36.90360";"1.08M";"-1.80%"
"Mar 12, 2021";"35.98260";"36.90360";"36.90360";"35.84960";"859.92K";"-2.50%"
"Mar 13, 2021";"37.14670";"35.98260";"37.84290";"35.98260";"987.44K";"3.24%"
"Mar 14, 2021";"36.50000";"37.12660";"37.39560";"36.50000";"587.07K";"-1.74%"
"Mar 15, 2021";"34.28380";"36.49000";"36.49000";"34.28380";"811.74K";"-6.07%"
"Mar 16, 2021";"35.41760";"34.31550";"35.41760";"32.57000";"846.21K";"3.31%"
"Mar 17, 2021";"36.14350";"35.41760";"36.14350";"34.95770";"651.63K";"2.05%"
"Mar 18, 2021";"35.34810";"36.11040";"36.32750";"35.34810";"761.49K";"-2.20%"
"Mar 19, 2021";"38.18880";"35.32630";"38.18880";"35.32630";"886.96K";"8.04%"
"Mar 20, 2021";"37.26790";"38.18330";"39.28730";"37.26790";"798.97K";"-2.41%"
"Mar 21, 2021";"36.64430";"37.23920";"37.35980";"36.64430";"457.17K";"-1.67%"
"Mar 22, 2021";"35.25920";"36.64430";"37.47370";"35.25920";"536.58K";"-3.78%"
"Mar 23, 2021";"34.22490";"35.25250";"35.25250";"34.22490";"788.44K";"-2.93%"
"Mar 24, 2021";"30.25970";"34.20000";"35.18590";"30.25970";"1.76M";"-11.59%"
"Mar 25, 2021";"29.85280";"30.25160";"30.74100";"29.17300";"1.19M";"-1.34%"
"Mar 26, 2021";"33.19390";"29.85280";"33.19390";"29.85280";"786.60K";"11.19%"
"Mar 27, 2021";"32.64570";"33.19390";"33.20010";"32.43030";"705.39K";"-1.65%"
"Mar 28, 2021";"32.24170";"32.60360";"33.02640";"31.91540";"529.06K";"-1.24%"
"Mar 29, 2021";"34.36770";"32.24170";"34.36770";"32.24170";"933.89K";"6.59%"
"Mar 30, 2021";"33.97300";"34.33830";"34.44000";"33.72240";"472.67K";"-1.15%"
"Mar 31, 2021";"37.05800";"33.98790";"37.17890";"33.98790";"1.19M";"9.08%"
"Apr 01, 2021";"37.43720";"37.05800";"37.43720";"36.55130";"925.87K";"1.02%"
"Apr 02, 2021";"40.99870";"37.43200";"40.99870";"37.43200";"670.55K";"9.51%"
"Apr 03, 2021";"41.36800";"40.99870";"44.81010";"40.99870";"1.33M";"0.90%"
"Apr 04, 2021";"44.29000";"41.35270";"44.29000";"41.35270";"521.92K";"7.06%"
"Apr 05, 2021";"45.80680";"44.32000";"45.80680";"42.34230";"660.12K";"3.42%"
"Apr 06, 2021";"43.31370";"45.77460";"45.77460";"42.95490";"601.33K";"-5.44%"
"Apr 07, 2021";"39.58550";"43.34400";"43.34400";"38.70940";"925.53K";"-8.61%"
"Apr 08, 2021";"41.33160";"39.51620";"41.33160";"39.51620";"463.54K";"4.41%"
"Apr 09, 2021";"40.77490";"41.32520";"41.32520";"40.47080";"351.69K";"-1.35%"
"Apr 10, 2021";"41.58680";"40.77960";"42.19130";"40.77960";"485.89K";"1.99%"
"Apr 11, 2021";"41.30890";"41.58680";"41.58680";"40.38280";"367.66K";"-0.67%"
"Apr 12, 2021";"40.48190";"41.29550";"41.33880";"40.15920";"406.88K";"-2.00%"
"Apr 13, 2021";"42.95240";"40.48190";"42.95240";"40.48190";"808.68K";"6.10%"
"Apr 14, 2021";"42.52270";"42.92280";"43.78060";"41.13970";"781.83K";"-1.00%"
"Apr 15, 2021";"43.48380";"42.49430";"43.80000";"42.04530";"722.45K";"2.26%"
"Apr 16, 2021";"41.44840";"43.44350";"43.44350";"41.44840";"905.48K";"-4.68%"
"Apr 17, 2021";"42.18570";"41.44840";"43.14380";"41.44840";"1.04M";"1.78%"
"Apr 18, 2021";"37.36675";"42.18570";"42.18570";"36.30060";"27.96M";"-11.42%"
"Apr 19, 2021";"34.75285";"37.41380";"38.63879";"34.07148";"12.76M";"-7.00%"
"Apr 20, 2021";"35.47729";"34.75285";"35.72968";"32.68943";"15.55M";"2.08%"
"Apr 21, 2021";"33.78870";"35.45010";"35.83483";"33.05846";"1.18M";"-4.76%"
"Apr 22, 2021";"32.95611";"33.78070";"35.97624";"32.81422";"19.09M";"-2.46%"
"Apr 23, 2021";"32.24968";"32.94080";"32.94080";"28.21603";"27.12M";"-2.14%"
"Apr 24, 2021";"29.04960";"32.26220";"32.36795";"29.04960";"623.19K";"-9.92%"
"Apr 25, 2021";"29.75951";"29.03040";"30.34223";"28.11666";"8.05M";"2.44%"
"Apr 26, 2021";"33.40414";"29.85730";"33.45446";"29.82000";"13.86M";"12.25%"
"Apr 27, 2021";"34.87960";"33.42330";"34.88444";"33.42330";"10.94M";"4.42%"
"Apr 28, 2021";"33.95014";"34.85380";"34.85380";"32.89702";"9.88M";"-2.66%"
"Apr 29, 2021";"35.98172";"34.00320";"35.98172";"32.98364";"9.47M";"5.98%"
"Apr 30, 2021";"36.53906";"35.97760";"36.55845";"35.30848";"11.88M";"1.55%"
"May 01, 2021";"36.88864";"36.55260";"37.34945";"35.86857";"8.02M";"0.96%"
"May 02, 2021";"36.65904";"36.93440";"37.16619";"35.60119";"7.28M";"-0.62%"
"May 03, 2021";"37.24260";"36.65970";"37.87980";"36.65970";"9.52M";"1.59%"
"May 04, 2021";"36.01382";"37.27300";"37.69376";"35.32153";"14.18M";"-3.30%"
"May 05, 2021";"40.46516";"34.73380";"40.74261";"34.73380";"17.27M";"12.36%"
"May 06, 2021";"41.57030";"40.45190";"41.57030";"38.13084";"1.63M";"2.73%"
"May 07, 2021";"39.90850";"41.56620";"42.22887";"39.90850";"923.07K";"-4.00%"
"May 08, 2021";"39.87245";"39.90850";"40.62924";"38.80165";"7.66M";"-0.09%"
"May 09, 2021";"40.31469";"39.93990";"40.51343";"38.27110";"10.78M";"1.11%"
"May 10, 2021";"36.48399";"40.34670";"41.82203";"32.32233";"16.31M";"-9.50%"
"May 11, 2021";"38.75000";"36.53630";"38.75000";"35.55038";"723.82K";"6.21%"
"May 12, 2021";"34.49295";"38.75000";"42.38252";"33.99729";"20.55M";"-10.99%"
"May 13, 2021";"39.99176";"34.61580";"41.76538";"33.06503";"34.87M";"15.94%"
